lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
55670,0,0,0,0,7,6,0,9,9,3,10,17,0,9,9,0,8,12,0,13,18,0,13,11,4,18,16,3,34,29,0,28,28,0,8,8,5,18,22
55740,0,33,33,0,68,67,0,101,101,9,195,201,5,148,148,0,127,130,0,167,169,7,184,188,0,171,178,3,269,273,0,256,257,0,140,143,15,1287,1299
55810,0,0,0,0,0,0,0,3,3,0,6,6,0,6,9,5,13,14,0,10,7,0,10,12,5,11,11,0,7,7,3,11,11,0,7,7,0,9,13
55880,0,3,3,0,0,0,0,5,5,0,6,6,0,0,4,0,6,6,5,5,9,0,13,13,0,15,19,0,17,17,4,14,14,0,10,11,0,25,29
55950,0,0,0,0,5,5,0,5,5,0,16,17,0,7,7,0,9,10,0,16,16,0,13,15,0,9,6,0,29,29,4,20,26,0,12,12,0,32,34
56090,6,66,67,8,175,179,4,240,247,14,702,713,6,466,473,20,710,733,14,671,682,29,806,834,16,825,841,32,1255,1287,34,1347,1376,34,966,1004,98,3277,3369
56160,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,7,0,7,10,0,0,0,0,0,0
56230,0,49,52,6,88,92,3,172,178,16,453,472,9,341,350,20,550,570,16,412,431,12,435,449,16,372,394,15,566,577,16,588,601,14,397,411,65,1019,1083
56300,0,5,7,0,20,20,0,19,19,0,42,44,0,30,30,6,59,66,0,50,54,4,45,48,0,53,54,0,54,61,0,44,44,0,25,29,5,48,48
56370,0,4,4,0,0,0,0,6,8,0,8,8,0,5,8,0,19,19,0,15,15,0,19,23,0,28,28,9,26,31,0,37,36,0,15,15,0,33,33
56460,0,17,13,10,26,32,4,57,61,7,135,147,8,88,93,9,108,117,13,117,132,16,145,167,0,138,136,12,166,180,11,184,192,7,91,95,13,237,243
56580,0,54,54,0,60,60,0,105,106,0,243,243,0,201,201,0,213,213,6,263,265,0,290,290,0,307,315,3,524,530,3,583,591,0,342,337,19,3652,3676
56620,0,0,0,10,0,10,9,0,9,23,0,23,19,0,20,23,0,22,21,3,27,31,0,34,18,4,29,31,15,56,11,19,30,5,4,8,14,16,24
56730,4,25,27,6,61,67,6,109,119,15,326,337,18,201,221,20,301,317,21,255,278,24,286,307,21,272,292,28,390,418,19,387,405,13,227,240,42,496,532
56790,0,4,4,5,14,17,4,35,38,8,113,122,0,55,61,3,111,119,4,100,103,11,75,87,7,82,83,9,99,109,3,98,96,3,61,68,6,115,118
56860,0,0,0,0,0,0,0,4,4,0,3,5,0,5,5,0,9,9,0,13,13,0,8,8,0,6,6,0,3,3,0,3,3,0,5,5,0,7,7
56930,0,0,0,0,3,3,0,3,3,0,9,9,0,18,18,0,9,9,0,7,7,0,13,13,0,20,20,0,30,30,5,38,39,0,15,15,0,292,292
57000,0,0,0,0,3,3,0,0,0,0,10,12,0,3,3,0,3,3,0,3,6,0,13,10,0,9,13,4,18,21,0,16,17,0,6,6,0,28,18
57080,0,91,91,4,191,194,6,288,290,4,410,411,8,420,427,9,399,407,11,544,552,7,798,800,12,818,831,21,1575,1599,21,1718,1740,6,645,655,35,3140,3174
57140,0,5,5,0,3,3,3,14,18,6,39,52,7,25,29,8,41,47,4,31,35,4,30,31,3,34,33,0,33,35,3,27,33,0,10,15,0,40,45
57210,0,12,12,0,31,31,5,50,56,4,190,192,7,118,122,3,173,177,11,151,158,0,146,147,6,137,141,8,177,183,10,165,177,5,115,118,8,222,225
57280,4,7,15,22,15,41,39,26,66,39,24,66,28,33,60,52,38,86,38,54,88,46,99,143,45,124,171,81,378,464,115,542,654,59,279,337,288,1779,2072
57350,0,0,0,0,9,10,4,8,11,0,18,26,0,15,15,6,26,28,5,21,28,0,25,26,0,22,20,4,27,25,0,23,25,0,9,9,0,36,36
57420,0,9,9,0,11,13,0,22,22,3,56,59,0,31,31,3,41,49,0,42,47,4,41,43,0,41,46,7,83,88,0,101,104,3,43,46,10,121,135
57490,3,239,247,23,487,504,33,959,994,52,2441,2496,81,2066,2145,89,2707,2797,93,2700,2793,100,3004,3103,105,3014,3119,167,5237,5406,207,5332,5538,119,3443,3563,321,9069,9398
57630,0,0,0,0,0,0,0,5,5,0,4,4,0,0,0,0,3,3,0,3,3,0,4,4,0,0,0,0,3,3,0,4,4,0,0,0,0,7,7
57700,0,45,45,0,81,81,6,109,112,0,265,268,9,241,250,16,420,436,14,410,423,27,544,570,28,631,655,44,1216,1255,51,1350,1397,39,944,980,87,2274,2367
57770,0,0,0,0,0,8,0,12,12,3,32,38,3,5,12,0,27,27,7,19,27,0,22,23,3,17,25,3,36,35,3,30,35,5,17,22,0,30,31
57840,4,136,139,7,238,247,12,373,382,13,809,821,18,741,767,15,716,725,8,811,823,12,1019,1030,14,1074,1093,20,1778,1806,24,1806,1830,11,974,990,66,5362,5427
57910,18,571,585,36,1290,1330,57,2091,2151,80,5174,5256,58,3719,3773,77,4436,4511,96,4797,4887,94,5853,5950,100,6048,6149,106,9595,9708,117,9615,9733,77,5439,5519,279,22323,22605
57980,0,52,52,0,100,94,0,204,208,0,370,372,0,319,321,3,288,291,0,313,317,5,396,403,9,401,409,4,725,740,15,763,777,4,364,365,20,2605,2623
58050,14,273,284,30,483,515,65,863,931,76,2110,2191,79,1647,1727,107,2469,2574,108,2637,2745,160,3485,3644,129,3755,3888,245,6125,6375,256,6579,6838,154,4383,4539,403,9914,10319
58190,0,4,4,0,4,4,0,0,4,0,14,19,0,13,7,0,10,10,0,8,7,0,7,10,0,10,11,0,12,12,3,7,12,0,7,13,0,8,8
58260,0,0,0,0,0,0,0,8,8,0,13,13,0,9,13,0,9,9,5,10,14,0,16,16,6,10,16,0,15,16,3,23,27,0,8,8,0,31,33
58330,0,13,13,0,24,24,0,36,42,0,148,155,0,75,79,0,136,135,0,137,141,4,127,134,3,118,122,0,161,166,5,160,164,3,88,95,13,222,230
